,name,website,facebook,telegram,twitter
16,Squeezer,https://squeezer.io/?utm_source=icobench,https://www.facebook.com/squeezerframework/,https://telegram.me/squeezerio,https://twitter.com/SqueezerIO
17,Azbit,https://azbit.com?utm_source=icobench,https://www.facebook.com/max.selyuk,https://t.me/azbit_com,https://twitter.com/azbit_news
18,Menapay,https://www.menapay.io/?utm_source=icobench,https://www.facebook.com/menapayio,https://t.me/MenaPay,
19,1irstcoin,https://1irstcoin.com/?utm_source=icobench,https://facebook.com/1irstcoin.de,https://t.me/mycoinexchange,https://twitter.com/jenylampr
20,Adab Solutions,http://adabsolutions.com?utm_source=icobench,https://www.facebook.com/adabsolutions,https://t.me/Adabsolutions,https://twitter.com/AdabSolutions
21,BitTorrent,https://github.com/jeanetteliu,https://facebook.com/bittorrent,https://t.me/BTTBitTorrent,https://twitter.com/BitTorrent
22,VeriBlock,https://www.veriblock.com/?utm_source=icobench,https://facebook.com/VeriBlock,https://t.me/VeriBlock,https://twitter.com/SilkRoadFlip
23,XCon,https://connectingcoin.io/?utm_source=icobench,https://www.facebook.com/DJM75DJM,https://t.me/CONNECTCOIN, https://twitter.com/musokwajr?s=08
24,TerraGreen,https://www.terragreen.io?utm_source=icobench,https://www.facebook.com/terragreen00,https://t.me/joinchat/IGhIuxKVTZqAqaFjHC6x1Q,https://twitter.com/TERAGRE01964783
25,DexAge,https://dexage.io/?utm_source=icobench,https://facebook.com/dexagetech,https://t.me/dexage,https://twitter.com/dexagetech
26,Fetch.ai,https://fetch.ai/?utm_source=icobench,https://www.facebook.com/fetchaiplatform/,https://t.me/fetch_ai,https://twitter.com/fetch_ai
27,VenusEnergy,https://venusenergy.io/?utm_source=icobench,https://www.facebook.com/VENUSTOKEN/,https://t.me/VenusEnergyPlatform/,https://twitter.com/Venus_Energy/
28,RedFOX Labs,https://redfoxlabs.io/?utm_source=icobench, https://www.facebook.com/bitcoinbenny/,https://t.me/redfoxlabs, https://twitter.com/nelgpearce
29,RES,http://endlessmining.io/?utm_source=icobench,,https://t.me/Kem_technology,https://twitter.com/TechnologyKem
30,MECA Coin,https://mecacoin.io?utm_source=icobench,https://www.facebook.com/MECACoin,https://t.me/MECACoin_ENG,https://twitter.com/MECACoin
31,Gath3r,https://github.com/influx6,https://www.facebook.com/Gath3r/,https://t.me/joinchat/G9LBMU5Q0-owTiN9LWHu8Q,https://twitter.com/Gath3r_io
32,Aerum,https://aerum.com/?utm_source=icobench,https://www.facebook.com/aerum.official/,https://t.me/aerum_official,https://twitter.com/aerum_official
33,EMX,http://www.emx.com/?utm_source=icobench,https://www.facebook.com/TradeEMX,https://t.me/evermarkets,https://www.twitter.com/TradeEMX
34,Ampleforth,https://www.ampleforth.org/?utm_source=icobench,https://www.facebook.com/ampleforthprotocol/,https://t.me/Ampleforth,https://twitter.com/ampleforthorg
35,Matic,https://matic.network?utm_source=icobench,https://www.facebook.com/maticnetwork/,https://t.me/maticnetwork,https://twitter.com/maticnetwork
36,Neutro,https://neutro.io/?utm_source=icobench,https://www.facebook.com/NeutroProtocol,https://t.me/NeutroChat,https://twitter.com/NeutroProtocol
37,VECAP,http://vecap.io?utm_source=icobench,https://www.facebook.com/vecap.io,https://t.me/vecap,https://twitter.com/Vecap_io
38,Spin Protocol,https://www.spinprotocol.io?utm_source=icobench,https://www.facebook.com/spinprotocol/,https://t.me/spinprotocol,https://twitter.com/spin_protocol
39,Verasity,https://verasity.io/?utm_source=icobench,https://www.facebook.com/verasitytech,https://t.me/verasitychat,https://twitter.com/verasitytech
40,Celer Network,https://www.celer.network/,,https://t.me/celernetwork,https://twitter.com/CelerNetwork
41,ZeroBank,https://zerobank.cash/?utm_source=icobench,https://www.facebook.com/zerobank.cash/,https://t.me/zerobank_cash,https://twitter.com/zerobank_cash
42,CryptoAds, https://medium.com/@AlexVinogradov4, https://www.facebook.com/vinogradovisoleksii,https://t.me/cryptoads_marketplace_en, https://twitter.com/AlexVinogradov4
43,Coinshare,http://coinshare.network/,https://www.facebook.com/CryptoChannelBlockchain/,,https://twitter.com/CryptoChannel1
44,LOLTOKEN BY EIU.AC,https://loleiu.io?utm_source=icobench,https://business.facebook.com/EIUParis,https://t.me/LOLEIU,https://twitter.com/coin_lol
45,SESSIA,https://sessia.com?utm_source=icobench,https://www.facebook.com/sessiaapp/,https://t.me/sessiaeng,https://twitter.com/sessia_clients
46,DEXON,https://cobinhood.com/token-offering/project/1f575501-4a02-48ce-8d25-ffe6e943704e?utm_source=icobench,https://www.facebook.com/DEXON.Foundation/,https://t.me/dexon_foundation,https://twitter.com/dexonfoundation
47,AIZEUS,https://aizeus.net/?utm_source=icobench,https://www.facebook.com/AI-Zeus-259857588172861,https://t.me/aizeus,https://twitter.com/AIZEUSNEWS
48,Bit Agro,https://bitagro.io?utm_source=icobench,https://www.facebook.com/agrodexx/,https://t.me/agrodex_official,https://twitter.com/BitagroI
49,Zeux,https://www.zeux.tech/?utm_source=icobench,https://www.facebook.com/ZeuxApp/,https://t.me/ZeuxApp,https://twitter.com/ZeuxApp
50,pukkamex,https://pukkamex.com/?utm_source=icobench,https://www.facebook.com/pukkamex,https://t.me/pukkamex,https://twitter.com/pukkamex
51,Auditchain,https://auditchain.com?utm_source=icobench,https://www.facebook.com/Auditchain,https://t.me/Auditchain_Community,https://twitter.com/Auditchain
52,Poseidon,https://www.poseidon.eco?utm_source=icobench,https://www.facebook.com/PoseidonFoundation,https://t.me/poseidonfoundation,https://twitter.com/Poseidon_NGO
53,GEXAN,https://gexan.io?utm_source=icobench,https://www.facebook.com/gexanlottery/,https://t.me/gexanlottery,https://twitter.com/_gexan_
54,ESAX,https://esax.tech/?utm_source=icobench,https://www.facebook.com/ESAXTech/,https://t.me/ESAXCryptocurrency,https://twitter.com/ESAXTechnologi1
55,CYBR,https://cybrtoken.io?utm_source=icobench,https://www.facebook.com/CYBRToken/,https://t.me/joinchat/IpnOJQ6irqRQU3RpE414lA,https://twitter.com/CYBR_Official
56,Stonecoin,https://www.thestonecoin.com?utm_source=icobench,,https://t.me/thestonecoin4u,https://twitter.com/thestonecoin4
57,IZIChain,https://www.izichain.network/?utm_source=icobench,https://www.facebook.com/izichainnetwork/,https://t.me/izichainnetwork,https://twitter.com/chain_izi
58,Creditcoin,https://cointoken.io/?utm_source=icobench,https://www.facebook.com/flatlay/,https://t.me/joinchat/GWRQaRI6YfuhR_atPb6mRw,https://twitter.com/flatlay
59,Brave Sound Token,https://www.bravesound.io/?utm_source=icobench,,https://t.me/bravesoundtoken,https://twitter.com/bravesoundtoken
60,Elrond Network,https://elrond.com?utm_source=icobench,https://facebook.com/elrondnetwork,https://t.me/ElrondNetwork,https://twitter.com/ATabarrok
61,Levolution,https://ito.levolution.io/?utm_source=icobench,https://www.facebook.com/LevolutionPlatform,https://t.me/levolutionITO,https://twitter.com/LevolutionP
62,ROC2,https://ico.rasputinmansion.com/?utm_source=icobench,https://www.facebook.com/rasputinmansion/,https://t.me/rasputin_chat,https://twitter.com/rasputinmansion
63,Dos Network,javascript:void(0),,https://t.me/dosnetwork_en,https://twitter.com/DosNetwork
64,Digipharm,michaelgubert@gmail.com,https://www.facebook.com/digipharmteam/,https://t.me/digipharm,https://twitter.com/DigipharmTeam
65,iOWN Token,https://www.iowntoken.com?utm_source=icobench,www.facebook.com/iowntoken,https://t.me/iowntoken,https://twitter.com/iOWNToken
66,Mycro,https://www.mycrojobs.io?utm_source=icobench,https://www.facebook.com/mycro.jobs/,https://t.me/mycrojobs,https://twitter.com/Mycrojobs
67,Ghost Talk,https://www.ghost-talk.io/?utm_source=icobench,,https://t.me/SmartCryptocurrency,
68,EarthBi,https://earthbi.io/en?utm_source=icobench,https://www.facebook.com/earthbi.io/,https://t.me/EarthBi,https://twitter.com/bi_earth
69,Vodi X,https://vodix.io?utm_source=icobench,,https://t.me/Vodixchannel,https://twitter.com/vodi_app
70,VIARIUM,https://en.viarium.io/?utm_source=icobench,https://www.facebook.com/profile.php?id=100001632010181,https://t.me/viariumen,https://twitter.com/ViariumProject
71,Geco.one,https://geco.one?utm_source=icobench,https://www.facebook.com/geco.one,https://t.me/joinchat/J1ay7UjdQZcuAXyr2OpWnQ,https://twitter.com/GecoOne
72,BolttCoin,https://bolttcoin.io/?utm_source=icobench,https://www.facebook.com/bolttsports/,https://t.me/BolttCoin,https://twitter.com/bolttsports
73,Fr8 Network,https://fr8.network/?utm_source=icobench,,https://t.me/fr8network,https://twitter.com/fr8network
74,SonoCoin,https://sonocoin.io?utm_source=icobench,https://www.facebook.com/sono.money/,https://t.me/sonocoinico,https://twitter.com/Sono_Coin
75,Yanu,https://yanu.ai/ico/?utm_source=icobench,https://www.facebook.com/YanuRobot/,https://t.me/yanu_ico,https://twitter.com/Yanu_ai
76,Newton,https://www.newtonproject.org?utm_source=icobench,https://www.facebook.com/newtonproject,https://t.me/Newtonproject,https://www.twitter.com/newton_project
77,iProtocol Network,https://iprotocol.network?utm_source=icobench,https://www.facebook.com/Iprotocol-Network-198811640713594/,https://t.me/iprotocolnetwork,https://twitter.com/iProtocolNetwrk
78,Nitro platform token,https://www.nitrotoken.io?utm_source=icobench,,https://t.me/nitroglobal,https://twitter.com/nitrotokens
79,ToKoin,https://www.tokoin.io/?utm_source=icobench,https://www.facebook.com/TokoinOfficial,https://t.me/tokoinglobal,https://twitter.com/TokoinOfficial
80,DeepCloud,https://deepcloudai.com?utm_source=icobench,https://www.facebook.com/DeepCloudOfficial,https://t.me/deepcloud_ai,https://twitter.com/geeta4c
81,AIVIA,https://aivia.io/?utm_source=icobench,https://www.facebook.com/aivia.io,https://t.me/AIVIAeng,https://twitter.com/aivia_io
82,DUO Network,http://ww1.math.nus.edu.sg/staff.aspx?s=matdm#,,https://t.me/duonetwork,https://twitter.com/duo_network
83,IOTW,https://iotw.io/?utm_source=icobench,https://www.facebook.com/IOTWProject/,https://t.me/IOTWcommunity,https://twitter.com/IOTW_Official
84,AllSesame,https://www.allsesame.com?utm_source=icobench,https://www.facebook.com/allsesame/,https://t.me/allsesame,https://twitter.com/allSesameGroup
85,Rebglo,https://rebglo.io/?utm_source=icobench,https://www.facebook.com/Rebglo,https://t.me/rebgloico,https://twitter.com/RebgloIO
86,PixelBit,https://pixelbit.cc/?utm_source=icobench,https://www.facebook.com/Pixelbit-395493231269181,https://t.me/joinchat/L42zNg42N5Xhf1x6jzJwiA,https://twitter.com/pixelbit8
87,2local,https://2local.io?utm_source=icobench,https://www.facebook.com/2local-2297961593816000,https://t.me/ICO_2local,https://twitter.com/2local1
88,AlienCloud,https://aliencloud.xyz?utm_source=icobench,https://www.facebook.com/AlienCloud.Company/,https://t.me/AlienCloudEng,https://twitter.com/AlienCloudxyz
89,Ten Billion Coin IEO,https://www.tenbillion.network/?utm_source=icobench,https://facebook.com/TenBillionCoinYBY,https://www.t.me/TenBillionCoin,https://twitter.com/tenbillioncoin
90,Vectorium Plus,https://www.vectorium.co/?utm_source=icobench,https://www.facebook.com/VectoriumSocial/,https://t.me/VectoriumProject,https://twitter.com/VectoriumSocial
91,Membrana,https://membrana.io?utm_source=icobench, https://www.facebook.com/yan.stolyar,https://t.me/membranaplatform,https://twitter.com/Kushed_Crypto
92,V Systems,https://www.v.systems?utm_source=icobench,,https://t.me/VSYSOfficialGroup,https://twitter.com/VSYSCoin
93,TEN Token,https://tentech.io/?utm_source=icobench,https://www.facebook.com/Tentech.io/,https://t.me/joinchat/Hay06keR4NC_rojnt5arBA,https://twitter.com/tentechio
94,REDi,https://redi.io/?utm_source=icobench,https://www.facebook.com/REDi.infranet/,https://t.me/redi_en,https://www.twitter.com/redi_infranet
95,Btccredit,https://btccredit.io?utm_source=icobench,https://www.facebook.com/btcctoken/,https://t.me/btccredit1,https://twitter.com/btc_credit
96,MediLiVes,https://medilives.io?utm_source=icobench,https://www.facebook.com/alex.wan.353,https://t.me/MediLiVesGroup,https://twitter.com/MartinTerritt?s=08
97,Alphanu,https://alphanu.io/?utm_source=icobench,https://www.facebook.com/alphanu21,https://t.me/alphanuofficial,https://twitter.com/alphanu21
98,MAS COIN,https://mascoin.co/?utm_source=icobench,https://www.facebook.com/MASC0IN/?__tn__=%2Cd%2CP-R&eid=ARAnMmwrvK2OytWVhcFZTxGoniBbfWDmgymyF5Dr95E2hIlLF1MTmZHxLNPGPaBTc1lu6TuCY90yP6SY,,
99,EvenToken,http://www.eventoken.io/index.html?utm_source=icobench,https://www.facebook.com/eventoken.io,https://t.me/eventoken,https://twitter.com/EvenToken
100,Cryptobuyer,https://ito.cryptobuyer.io/?utm_source=icobench,https://www.facebook.com/cryptobuyer/,https://t.me/CryptobuyerICO,https://twitter.com/angelrgraterolm
101,Evedo,https://www.evedo.co/?utm_source=icobench,https://www.facebook.com/rene.schwarzgruber,https://t.me/evedoco,https://twitter.com/evedotoken
102,MEvU,https://www.mevu.bet/?utm_source=icobench,https://www.facebook.com/betmevu/,https://t.me/joinchat/FKcKRUwJ1_T8zMK2Lueu3A,https://twitter.com/mevu_bet
103,Bitenny,https://bitenny.io/?utm_source=icobench,https://www.facebook.com/Bitennyio-935538879978419/?modal=admin_todo_tour,https://t.me/Bitenny,https://twitter.com/Bitenny_io
104,Ziktalk,https://www.ziktalk.com/?utm_source=icobench,https://www.facebook.com/ziktalk/,https://t.me/ziktoken,
105,stableDEX,https://stabledex.io/?utm_source=icobench,https://www.facebook.com/groups/483477825720880/,https://t.me/stabledex,https://twitter.com/DexStable
106,Allbebet,https://allbebet.io?utm_source=icobench,https://www.facebook.com/allbebetcom,https://t.me/allbebet_news,https://twitter.com/allbebetcom
107,CENTEX,https://centex.io/?utm_source=icobench,,https://t.me/centexio,https://twitter.com/centexio
108,HUNT,https://token.steemhunt.com/?utm_source=icobench,,https://t.me/steemhunt,https://twitter.com/steemhunt
109,PBET,https://pbet.io/?utm_source=icobench,https://www.facebook.com/pbetofficial/,https://t.me/Pbetcommunity,https://twitter.com/Pbet_Project
110,Bitstars,https://fb.com/jakupism,https://www.facebook.com/bitstarsio,https://t.me/bitstarsio,https://twitter.com/bitstarsio
111,MPCX,http://mpcx.co?utm_source=icobench,https://www.facebook.com/MPCXPlatform,https://t.me/MPCXPlatfromCommunity,https://twitter.com/MPCXPlatform
112,PDATA,https://opiria.io/?utm_source=icobench,https://www.facebook.com/pdatatoken/,https://t.me/PDATAtoken,https://twitter.com/PDATA_Token
113,Agrolifecoin,https://agrolifecoin.com/ico?utm_source=icobench,https://www.facebook.com/tancredo.cecato,https://t.me/agrolifecoin_AGLC,https://twitter.com/agrolifecoin
114,UOS Network,https://uos.network?utm_source=icobench,,https://t.me/uos_network_en,https://twitter.com/uos_network
115,Global Funeral Care,https://www.globalfuneralcare.org/?utm_source=icobench,https://www.facebook.com/globalfuneralcare,https://t.me/joinchat/AN93fkuWNYcvbGiEmfcd0g,https://twitter.com/GFC_HQ
116,Coinxes,https://www.coinxes.io/?utm_source=icobench,https://www.facebook.com/Coinxesp2p/,https://t.me/coinxes,https://twitter.com/coinxes2/
117,Crypto Market Ads,https://www.cryptomarketads.com?utm_source=icobench,https://www.facebook.com/cryptomarketads,https://t.me/CryptoMarketAdsOfficial,https://twitter.com/cryptomarketads
118,Marshal Lion Group Coin,https://mlgc.io/?utm_source=icobench,https://www.facebook.com/marshalliongroupcoin,https://t.me/marshal_lion,https://twitter.com/marshal_lion
119,idap.io,https://www.idap.io/?utm_source=icobench,https://www.facebook.com/idapio.exchange/,https://t.me/idap_io,https://twitter.com/idap_io
120,Blockium,https://www.blockium.io/Home/Welcome?utm_source=icobench,https://www.facebook.com/blockium/,https://t.me/Blockiumpresale,https://twitter.com/blockium_io?lang=en
121,Linix,https://github.com/ahastudio,https://www.facebook.com/linixfoundation/,https://t.me/linixfoundation,https://twitter.com/linixfoundation
122,Refine Medium,https://www.refinemedium.com?utm_source=icobench,https://www.facebook.com/refinemedium,https://t.me/Refine_Medium,https://twitter.com/RefineMedium
123,PlannerScape,https://www.plannerscape.com/technology-preview/?utm_source=icobench,https://www.facebook.com/plannerscape,https://t.me/joinchat/Es0_R05if4xNxRyveLODNQ,https://twitter.com/plannerscape
124,GStar,http://www.gstarcoin.info/index.html?utm_source=icobench,https://www.facebook.com/blockchain.gstar,https://t.me/goxtoken,https://twitter.com/BlockchainGstar
125,PantheonX,Global Business Development,https://www.facebook.com/pantheonx/,https://t.me/pantheonx_English,https://twitter.com/pantheon_x
126,SKYBIT,https://skybit.asia/?utm_source=icobench,,,
127,Prediqt,https://prediqt.io/?utm_source=icobench,https://www.facebook.com/PrediqtCo/,https://t.me/prediqtio,https://twitter.com/prediqtco
128,Emjac,https://www.emjac.io?utm_source=icobench,https://www.fb.me/EMJToken,https://t.me/emjac_official,https://twitter.com/emjac_emj
129,MintMine,http://mintmine.io/?utm_source=icobench,https://www.facebook.com/MintMineCA/,https://t.me/MintMine,https://twitter.com/mintmineca
130,H&B Exchange Token,https://www.hnb-ex.com/?utm_source=icobench,https://www.facebook.com/hnbexchange,https://t.me/hb_exchange,https://twitter.com/HnB_exchange
131,Multichain Ventures,https://multichain.ventures?utm_source=icobench,https://www.facebook.com/multichainventures/,https://t.me/multichainventures,https://twitter.com/Multichain_Vent
132,Monetorb,https://www.monetorb.com/?utm_source=icobench,https://www.facebook.com/medi.token.5/about?lst=100025868194184%3A100025868194184%3A1525773265,https://t.me/singingcryptos,https://twitter.com/aj_monetorb
133,NEXT,https://next.exchange/genesis/details/79?utm_source=icobench,https://www.facebook.com/NEXTexchangeOfficial/,https://t.me/next_exchange,https://twitter.com/NextExchange
134,Nexxus Rewards,http://www.nexxusrewards.io?utm_source=icobench,https://www.facebook.com/nexxusrewards,https://t.me/nexxusrewardschat,https://twitter.com/nexxusreward
135,Karuschain,https://www.karuschain.com/?utm_source=icobench,https://www.facebook.com/karuschain,https://t.me/karuschain,https://twitter.com/karuschain
136,IAT,https://www.iatokens.com/?utm_source=icobench,https://www.facebook.com/IATOfficial/,https://t.me/iatokens,https://twitter.com/IA_Tokens
137,Carbon Offset Initiative,http://co-initiative.io/?utm_source=icobench,https://www.facebook.com/Carbon-Offset-Initiative-101959777895131/,https://t.me/coinitiative,https://twitter.com/CarbonOffsetIn1
138,Wolfs Group,https://wolfs.group/?utm_source=icobench,https://www.facebook.com/wolfsofficial/,https://t.me/wolfsgroup,https://twitter.com/GroupWolfs
139,Cube Chain,https://www.cubechain.io/?utm_source=icobench,https://www.facebook.com/cubechain,https://t.me/cubechain,https://www.twitter.com/cube_chain
140,Pawtocol,https://newpaw.web.app/?utm_source=icobench,https://www.facebook.com/Pawtocol/,https://t.me/pawtocol,https://twitter.com/pawtocol
141,Bitcoin Classic,https://bitcoinxc.org/?utm_source=icobench,https://fb.me/bitcoinxc,https://t.me/bitcoinxc,https://twitter.com/bitcoinxc_org
142,StiB,https://www.stib.co/?utm_source=icobench,https://facebook.com/StiBLabs,https://t.me/STiBenglish,https://twitter.com/StiBLabs
143,StepChain,https://stepchain.net/?utm_source=icobench,https://www.facebook.com/StepChainapp/,https://t.me/stepchain,https://twitter.com/StepChain2
144,Shopereum,https://www.shopereum.io/?utm_source=icobench,https://facebook.com/shopreum,https://t.me/Shopereum,https://twitter.com/shopereum
145,The Hustle App,https://www.hustletoken.org/?utm_source=icobench,https://m.facebook.com/HustleToken/,https://t.me/HustleAppChat,https://twitter.com/TheHustleToken
146,Pocket Node,https://www.pocketnode.net/#?utm_source=icobench,,https://t.me/Pocketnode_techsupport,https://twitter.com/pocketnodes
147,TIG,https://www.hellotig.com/?utm_source=icobench,https://www.facebook.com/hellotig/,https://t.me/hellotig,https://www.twitter.com/TIGcommunity
148,MegaLTR,https://megaltr.com/?utm_source=icobench,https://www.facebook.com/MegaLTR,https://t.me/MegaltrEnglish,https://twitter.com/MegaLTR
149,Torex,https://torex.one?utm_source=icobench,https://www.facebook.com/torex.one,https://t.me/joinchat/EHYtmBEx-XcrlHz8M9Vo0A,https://twitter.com/TorexOne
150,MONNOS,https://monnos.com/en/mns-token-initial-exchange-offering/?utm_source=icobench,https://www.facebook.com/MonnosGlobal/,https://t.me/monnos_english,https://twitter.com/monnosGlobal
151,Juchating,http://www.juchating.io/en?utm_source=icobench,https://www.facebook.com/profile.php?id=100026211932173,https://t.me/Open_Juchating,
152,Freelanex,https://www.freelanex.io/?utm_source=icobench,https://www.facebook.com/Freelanex,https://t.me/Freelanex,https://twitter.com/freelanex
153,RideNode,https://ridenode.io?utm_source=icobench,https://www.facebook.com/ridenode.tokens,https://t.me/RideNodeGroup,https://twitter.com/RideNode
154,Global Crypto Alliance,https://gcalliance.io/?utm_source=icobench,https://www.facebook.com/GCA.Call.token/,https://t.me/Gcall777,https://twitter.com/GlobalCryptoAll
155,PIXBY Project,https://www.pixby.io?utm_source=icobench,,https://t.me/pixbytoken,https://twitter.com/PixbyToken
156,BitKAM Network,https://bitkam.io/?utm_source=icobench,https://www.facebook.com/bitkamtoken/,https://t.me/joinchat/NogrdE9ncHDfZPqy6DtbZA,https://twitter.com/bitkamtoken
157,Digital Wallet,https://www.dwcproject.com/eng?utm_source=icobench,www.facebook.com/smiles.wallet.global/,https://t.me/dwcproject,https://twitter.com/DWCProject
158,CitiOS,https://www.citios.io/?utm_source=icobench,https://www.facebook.com/citios.io/,https://t.me/CitiOS_Official,https://twitter.com/CitiosOfficial
159,Natural Eco Carbon Coin,http://www.urcc9.com/en/about/map.php?utm_source=icobench,,,
160,BlobFlow,https://www.blobflow.com/?utm_source=icobench,https://www.facebook.com/blobflow,https://t.me/blobflow,https://twitter.com/blobflow
161,K.im,https://k.im?utm_source=icobench,https://www.facebook.com/kimcoinofficial/,https://t.me/kimcoinofficial,https://twitter.com/kimcoinofficial
162,BNC Token,https://www.probit.com/en-us/ieo/bnc-round1/1?utm_source=ICObench%20Listing%20Page&utm_medium=cpc&utm_campaign=BNC&utm_content=ICObench%20Listing%20Page,https://www.facebook.com/bravenewcoin/,https://t.me/joinchat/IedL3Bdfw5lv2YW8IXAmgg,https://twitter.com/bravenewcoin
163,C Estates,https://www.cestates.io?utm_source=icobench,https://www.facebook.com/cestates.io/,https://t.me/cestates_io,https://twitter.com/cestates_io
164,Stan World,https://stan.world/?utm_source=icobench,https://www.facebook.com/stanworld.official/,https://t.me/stanworld,https://twitter.com/stanworld_twt
165,KAVA,https://www.kava.io/?utm_source=icobench,,https://t.me/kavalabs,https://twitter.com/kava_labs
166,Bankaero,https://bankaero.com/?utm_source=icobench,https://www.facebook.com/bankaero,https://t.me/bankaeroapp,https://twitter.com/bankaeroapp
167,CryptoCocktail Coin,http://cryptococktailcoin.io/?utm_source=icobench,http://cryptococktailcoin.io/#,,https://twitter.com/cryptococktail
168,GBC KOREA,https://gbckorea.co.kr/en/?utm_source=icobench,,https://t.me/gbckorea1,https://twitter.com/gbckorea5
169,Smart Trade Coin,https://smarttradeico.io/?utm_source=icobench,https://www.facebook.com/SmartTradeCoin/,https://t.me/smartradecoinn,https://twitter.com/smarttradecoin
170,UssCyber,https://usscyber.com/?utm_source=icobench,https://www.facebook.com/wscex/,,https://twitter.com/WsceCoin
171,SPENDER,https://spdx.io/?utm_source=icobench,https://www.facebook.com/pg/spender00/posts/,,
172,Kuverit,https://www.kuverit.io/?utm_source=icobench,https://www.facebook.com/kuverit/,https://t.me/Kuveritico,
173,Statizex,https://www.statizex.com?utm_source=icobench,https://www.facebook.com/Statizex,https://t.me/statizexcommunity,https://twitter.com/statizex
174,Super 8,https://super8.network/contact.html?utm_source=icobench,,https://t.me/joinchat/Il-2jRZ4xnELpjeax81pYg,https://twitter.com/Super881973725
175,GoldeNugget,https://www.goldenugget.ch?utm_source=icobench,https://www.facebook.com/Goldenuggetproject/,https://t.me/GoldeNugget_token,https://twitter.com/GoldeNuggetCH/status/1122798138941743109
176,FESS Chain,http://fesschain.live?utm_source=icobench,https://www.facebook.com/fesschain/,https://t.me/fesschain,https://twitter.com/fesschain
177,DEXA Coin,https://dexacoin.net/?utm_source=icobench,https://www.facebook.com/DEXACOIN.DEXA/,https://t.me/dexacoin,https://twitter.com/DEXA_COIN
178,ASTRcoin,https://www.astrcoin.io/?utm_source=icobench,https://www.facebook.com/Asteroid-Ltd-708459336013729/,https://t.me/joiHMExBUumuJYKJnghdMqQUAnchat/,https://twitter.com/ASTRcoin
179,Navibration,https://www.navibration.com/?utm_source=icobench,https://www.facebook.com/Navibration-1526002337730386/,https://t.me/NAVIBRATION_Announcements,https://twitter.com/Navibration
180,Azuma Games,https://www.azumacoin.io/?utm_source=icobench,https://www.facebook.com/Azumacoin.io/,https://t.me/Azumagames,
181,AlphaX,https://alpha-x.io/?utm_source=icobench,https://www.facebook.com/alphaxofficialsupport/,https://tg.org/alphax_official,https://twitter.com/alphax_official
182,Curate,https://curate.style?utm_source=icobench,https://www.facebook.com/pg/CurateStyle/posts/?ref=page_internal,https://t.me/curate,https://twitter.com/curateproject
183,Captive,https://captiveapp.com//?utm_source=icobench,https://www.facebook.com/captiveapp/,https://t.me/captiveapp,https://twitter.com/thecaptiveapp
184,CazPlus,https://www.cazplus.com?utm_source=icobench,https://www.facebook.com/CazProjects/,https://www.t.me/cazplusofficial,https://twitter.com/caz_plus
185,DIVO,https://www.divo.fashion?utm_source=icobench,https://www.facebook.com/Divo.Platform/,https://t.me/divo_fashion,https://twitter.com/divo_fashion
